date,ticker
1996-01-22,BCO
1996-02-12,CCB
1996-03-08,HDLM
1996-03-13,FBO
1996-03-28,CYR
1996-04-01,CMB
1996-04-01,I
1996-04-23,LOR
1996-05-31,PMI
1996-07-19,USHC
1996-07-22,CAL
1996-08-16,COV
1996-09-06,VAT
1996-10-01,OM
1996-10-16,THY
1996-11-04,YRCW
1996-12-03,CNW
1996-12-19,BLY
1997-01-02,LUB
1997-01-02,RYAN
1997-01-02,SHN
1997-01-07,BOAT
1997-01-15,AAL
1997-04-01,PAC
1997-05-06,GLD
1997-05-27,CRR
1997-06-02,DWD
1997-06-18,USH
1997-06-19,PEL
1997-07-02,GWF
1997-07-17,GIDL
1997-07-28,INGR
1997-07-28,SFS
1997-08-01,MD
1997-08-04,USBC
1997-08-06,ENS
1997-08-07,NAE
1997-08-15,NYN
1997-09-02,TDM
1997-09-15,AMH
1997-10-07,SRR
1997-10-23,LLX
1997-11-28,SB
1997-12-04,BEV
1997-12-18,HFS
1997-12-24,FLMIQ
1998-01-12,BBI
1998-01-20,ECO
1998-01-28,CBB
1998-01-30,PAS
1998-04-01,JH
1998-04-01,SK
1998-04-08,CHRS
1998-04-27,FG
1998-04-28,CFL
1998-06-12,DEC
1998-06-29,PET
1998-07-01,BNL
1998-07-01,GNT
1998-07-01,RYI
1998-07-10,ECH
1998-07-16,GFS.A
1998-07-17,WMX
1998-08-11,WAI
1998-08-14,MST
1998-08-28,DIGI
1998-08-31,BAY
1998-09-15,MCIC
1998-09-28,MNR
1998-09-30,DI
1998-10-01,AHM
1998-10-02,FCN
1998-10-02,USS
1998-10-07,GSX
1998-10-08,CCI
1998-11-18,STO
1998-11-24,AS
1998-12-22,GRN
1998-12-31,PZE
1999-01-04,AN
1999-01-04,FL
1999-01-04,SAI
1999-01-13,HBOC
1999-03-01,ORX
1999-03-10,TCOMA
1999-03-25,RBD
1999-04-05,AMP
1999-04-12,ANV
1999-05-03,UCC
1999-05-28,FMY
1999-05-28,MWI
1999-06-04,BT
1999-06-09,HPH
1999-06-22,MII
1999-06-24,ASC
1999-06-25,ASND
1999-07-01,PVT
1999-07-22,TA
1999-08-02,BFI
1999-08-02,NLC
1999-08-09,BMGCA
1999-08-13,RYC
1999-09-20,MTL
1999-09-29,FRO
1999-10-01,BKB
1999-10-01,FTL.A
1999-10-04,PHB
1999-10-11,AIT
1999-10-13,DGN
1999-10-18,CYM
1999-10-26,SNT
1999-10-27,AR
1999-11-05,TEN
1999-11-08,HRS
1999-11-15,CSE
1999-11-16,KWP
1999-11-30,PPW
1999-12-01,MOB
1999-12-08,LDW.B
1999-12-31,HP
2000-01-03,RNB
2000-01-06,NLV
2000-01-31,CNG
2000-01-31,FLTWQ
2000-01-31,FWLT
2000-03-16,SCI
2000-04-03,PBY
2000-04-03,PNU
2000-04-18,ARC
2000-05-04,RLM
2000-05-10,JOS
2000-06-01,MIR
2000-06-05,NC
2000-06-08,SMS
2000-06-13,TMC
2000-06-13,TMC.A
2000-06-15,UMG
2000-06-16,CSR
2000-06-19,CHA
2000-06-20,WLA
2000-06-21,SGID
2000-06-29,IKN
2000-06-29,MZIAQ
2000-07-03,GTE
2000-07-03,USW
2000-07-13,KSU
2000-07-17,UPR
2000-07-27,RAD
2000-07-28,COMS
2000-08-21,NCE
2000-08-30,GAPTQ
2000-10-02,OWENQ
2000-10-03,BFO
2000-10-03,YNR
2000-10-18,MKG
2000-10-23,UCM
2000-11-02,CG
2000-11-02,EFU
2000-11-06,PWJ
2000-11-17,ACKH
2000-11-22,SEG
2000-11-24,FJ
2000-12-01,AFS.A
2000-12-01,FPC
2000-12-11,BHMSQ
2000-12-11,CCK
2000-12-11,GRA
2000-12-11,OI
2000-12-11,VO
2000-12-12,NGH
2000-12-12,PRD
2000-12-12,RML
2000-12-12,SMI
2000-12-22,MEE
2001-01-30,CGP
2001-02-07,UK
2001-03-01,SUB
2001-04-02,CEN
2001-04-02,OK
2001-04-03,BGG
2001-05-14,SXCL
2001-06-04,CIT.A
2001-06-25,AZA.A
2001-06-29,H
2001-07-02,LDG
2001-07-09,PCH
2001-08-03,OAT
2001-08-06,ETS
2001-08-07,TKR
2001-08-29,AGC
2001-08-30,OKE
2001-09-04,BVSN
2001-09-17,TOS
2001-10-10,GX
2001-10-10,TX
2001-11-07,GPU
2001-11-30,ENRNQ
2001-12-03,NSI
2001-12-13,RAL
2001-12-17,HM
2002-01-02,FMC
2002-01-17,KM
2002-01-30,MEA
2002-02-01,NMK
2002-02-11,WLL
2002-05-06,CPQ
2002-05-13,SAPE
2002-05-15,UAWGQ
2002-05-15,WCOEQ
2002-06-26,CNXT
2002-07-16,IMNX
2002-07-22,ABX
2002-07-22,AL
2002-07-22,INCLF
2002-07-22,NRTLQ
2002-07-22,PDG
2002-07-22,RDS.A
2002-07-22,UN
2002-07-25,CNC
2002-08-14,PALM
2002-08-21,VTSS
2002-09-03,COC.B
2002-12-12,TRW
2003-02-21,RATL
2003-03-14,AAMRQ
2003-03-21,EHC
2003-03-31,HI
2003-04-16,PHA
2003-07-17,MIR
2003-08-20,MDR
2003-09-26,QTRN
2003-11-13,BGEN
2004-02-27,CE
2004-03-25,TUP
2004-04-01,FBF
2004-04-23,PCS
2004-04-29,JHF
2004-05-03,AM
2004-07-01,ONE
2004-07-01,UPC
2004-08-03,TNB
2004-09-01,CF
2004-10-27,AWE
2004-11-01,SOTR
2004-12-01,WLP
2004-12-03,WNDXQ
2004-12-20,CR
2004-12-20,DLX
2004-12-20,WOR
2004-12-29,PSFT
2005-03-14,PWER
2005-07-05,GLK
2005-07-05,VRTS
2005-07-22,TOY
2005-08-11,UCL
2005-08-12,SDS
2005-08-15,NXTL
2005-08-19,DALRQ
2005-08-29,MAY
2005-10-03,G
2005-10-03,PVN
2005-10-11,DPHIQ
2005-12-02,CPNLQ
2005-12-20,GP
2006-01-03,KRB
2006-01-03,VSTNQ
2006-01-04,MERQ
2006-02-01,RBK
2006-02-01,SEBL
2006-02-27,SFA
2006-03-03,DCNAQ
2006-04-03,BR
2006-04-03,CIN
2006-04-03,JP
2006-04-03,MYG
2006-04-20,CHIR
2006-04-24,GDT
2006-05-18,AMCC
2006-06-02,ABS
2006-06-06,EC
2006-06-28,KRI
2006-07-18,CTB
2006-08-01,CAR
2006-08-01,GTW
2006-08-11,KMG
2006-10-02,ANDW
2006-10-02,GDW
2006-11-06,ASO
2006-11-10,FSH
2006-11-10,LPX
2006-11-17,ACV
2006-11-20,HCA
2006-12-01,LU
2006-12-01,NFB
2006-12-04,FSL
2006-12-20,NAV
2007-01-03,BLS
2007-01-03,PTC
2007-01-10,SBL
2007-02-01,CMVT
2007-02-12,EOP
2007-02-15,APCC
2007-02-22,PGL
2007-03-02,HMA
2007-03-20,PD
2007-03-23,CMX
2007-03-29,UVN
2007-04-02,TSG
2007-04-10,H
2007-05-31,KMI
2007-06-01,MEDI
2007-07-02,ADCT
2007-07-02,MEL
2007-07-02,PMCS
2007-07-02,SANM
2007-07-09,DG
2007-07-12,BMET
2007-08-27,KSE
2007-09-07,CBSS
2007-09-25,FDC
2007-09-27,MXIM
2007-10-01,NCR
2007-10-02,SLR
2007-10-08,ASN
2007-10-10,TXU
2007-10-25,HLT
2007-10-26,AV
2007-10-29,BOL
2007-11-09,HCR
2007-11-16,TEK
2007-11-19,AT
2007-12-14,DJ
2007-12-21,TRB
2007-12-31,TIN
2008-01-02,SNV
2008-01-29,HET
2008-03-31,CBH
2008-03-31,CCTYQ
2008-06-02,BSC
2008-06-06,TT
2008-06-11,ABKFQ
2008-06-23,BC
2008-06-23,OMX
2008-07-01,CFC
2008-07-01,SSP
2008-07-31,CCU
2008-08-21,IAC
2008-08-26,EDS
2008-09-11,FMCC
2008-09-11,FNMA
2008-09-17,LEHMQ
2008-09-23,SAF
2008-09-30,WAMUQ
2008-09-30,WEN
2008-10-07,WWY
2008-10-22,DDS
2008-10-31,MTG
2008-11-06,TEX
2008-11-11,UIS
2008-11-13,GGP
2008-11-14,ASH
2008-11-14,HPC
2008-11-18,BUD
2008-11-24,ABI
2008-12-02,KATE
2008-12-05,AW
2008-12-19,RIG
2008-12-23,BRL
2009-01-02,MER
2009-01-02,NCC
2009-01-02,WB
2009-01-06,UST
2009-01-30,SOV
2009-02-26,WFT
2009-03-04,ACAS
2009-03-04,JNY
2009-03-27,NE
2009-03-30,DDR
2009-04-02,ROH
2009-06-03,MTLQQ
2009-06-05,COV
2009-06-26,TEL
2009-07-01,EQ
2009-07-01,IR
2009-07-27,CITGQ
2009-08-19,CTX
2009-09-01,MTW
2009-09-09,CBE
2009-10-16,WYE
2009-11-04,SGP
2009-12-21,CIEN
2009-12-21,CVG
2009-12-21,DYN
2009-12-21,KBH
2009-12-21,MBI
2009-12-23,ESV
2010-01-27,JAVA
2010-02-08,ACS
2010-02-16,BNI
2010-02-26,RX
2010-03-01,PBG
2010-03-15,BDK
2010-04-29,BJS
2010-06-28,XTO
2010-07-01,STR
2010-07-15,MIL
2010-08-27,SII
2010-11-17,PTV
2010-12-20,EKDKQ
2010-12-20,KG
2010-12-20,NYT
2010-12-20,ODP
2011-01-04,MDP
